"Stem","Orders_Sum","WordsOfStem_Visits","StemC"
"266","34","wagg dog food(266)","wagg dog food"
"265","19","dog jumper(265)","dog jumper"
"264","5","flea bomb(264)","flea bomb"
"264","2","groom room dog(264)","groom room dog"
"263","49","timothi hay(263)","timothi hay"
"258","34","rabbit food(258)","rabbit food"
"257","9","aquarium(257)","aquarium"
"256","15","heat mat(256)","heat mat"
"256","26","hill scienc(256)","hill scienc"
"256","22","kitten food(256)","kitten food"
"255","20","searchxmascatchristmastreat(255)","searchxmascatchristmastreat"
"253","7","guinea pig cage(253)","guinea pig cage"
"249","16","gravel(249)","gravel"
"247","2","chester bed(247)","chester bed"
"245","73","poop bag(245)","poop bag"
"244","17","calendar dog(244)","calendar dog"
"244","35","sanicat(244)","sanicat"
"243","19","advent calendar(243)","advent calendar"
"241","21","bed(241)","bed"
"241","3","dog guard(241)","dog guard"
"241","27","royal canin dog(241)","royal canin dog"
"240","10","fish tank filter(240)","fish tank filter"
"237","18","toy box(237)","toy box"
"236","13","advantag(236)","advantag"
"236","14","flash dog collar(236)","flash dog collar"
"236","14","tunnel(236)","tunnel"
"234","37","felix as good as it look(234)","felix as good as it look"
"234","6","wainwright bed(234)","wainwright bed"
"227","8","hamster ball(227)","hamster ball"
"227","45","royal canin kitten(227)","royal canin kitten"
"227","34","wainwright(227)","wainwright"
"226","15","hill cat food(226)","hill cat food"
"226","30","pro plan(226)","pro plan"
"224","0","rat cage(224)","rat cage"
"224","29","royal canin adult(224)","royal canin adult"
"223","60","wainwright adult(223)","wainwright adult"
"222","15","food storag(222)","food storag"
"221","37","dog biscuit(221)","dog biscuit"
"221","7","slip lead(221)","slip lead"
"220","36","dog stock(220)","dog stock"
"220","13","dog tag(220)","dog tag"
"220","12","pug(220)","pug"
"217","6","gate(217)","gate"
"217","10","purina pro plan(217)","purina pro plan"
"216","13","burn burn dog(216)","burn burn dog"
"216","18","igloo(216)","igloo"
"215","54","pig ear(215)","pig ear"
"214","3","bird tabl(214)","bird tabl"
"214","1","vesper(214)","vesper"
"212","25","ball(212)","ball"
"211","10","flea shampoo(211)","flea shampoo"
"210","13","bed(210)","bed"
"210","7","flea(210)","flea"
"206","1","gecko(206)","gecko"
"206","20","water bottl(206)","water bottl"
"205","11","thermomet(205)","thermomet"
"203","7","frontlin flea control(203)","frontlin flea control"
"203","3","furmin(203)","furmin"
"202","21","grain free(202)","grain free"
"202","6","plastic dog bed(202)","plastic dog bed"
"201","28","blanket(201)","blanket"
"201","50","bonio(201)","bonio"
"201","6","dog carrier(201)","dog carrier"
"201","0","guinea pig(201)","guinea pig"
"201","19","iam cat(201)","iam cat"
"200","16","antler dog chew(200)","antler dog chew"
"200","16","purina one(200)","purina one"
"195","18","kong dog toy(195)","kong dog toy"
"194","18","mat(194)","mat"
"193","16","train lead(193)","train lead"
"190","4","fluval edg(190)","fluval edg"
"190","6","rosewood cat collar(190)","rosewood cat collar"
"189","3","pump(189)","pump"
"189","1","snake(189)","snake"
"186","36","go cat(186)","go cat"
"186","57","gravi bone(186)","gravi bone"
"186","10","hamster food(186)","hamster food"
"185","8","budgi(185)","budgi"
"184","14","butcher dog food(184)","butcher dog food"
"183","47","wainright(183)","wainright"
"182","20","train pad(182)","train pad"
"181","7","calm(181)","calm"
"180","0","hill urinari health(180)","hill urinari health"
"179","13","har dog(179)","har dog"
"179","8","poop scoop(179)","poop scoop"
"178","31","bone(178)","bone"
"178","6","dog shoe(178)","dog shoe"
"178","21","ear drop(178)","ear drop"
"178","6","heat bed(178)","heat bed"
"178","2","heater(178)","heater"
"178","16","kong dog(178)","kong dog"
"178","17","thunder shirt(178)","thunder shirt"
"178","12","worm tablet(178)","worm tablet"
"177","37","applaw dog(177)","applaw dog"
"177","39","dog chew(177)","dog chew"
"176","36","cat milk(176)","cat milk"
"176","32","fat ball(176)","fat ball"
"176","7","pet rebellion mat(176)","pet rebellion mat"
"176","0","weight control dog(176)","weight control dog"
"175","17","flea comb(175)","flea comb"
"175","18","gelert(175)","gelert"
"175","8","ruffwear(175)","ruffwear"
"174","6","bird cage(174)","bird cage"
"174","14","cone(174)","cone"
"174","43","royal canin sensit(174)","royal canin sensit"
"174","33","royal canin(174)","royal canin"
"172","14","cat collar(172)","cat collar"
"170","26","bone(170)","bone"
"170","9","nail clipper(170)","nail clipper"
"170","23","peanut(170)","peanut"
"170","12","pet remedi(170)","pet remedi"
"168","5","frontlin flea(168)","frontlin flea"
"167","6","dog jumper(167)","dog jumper"
