"Visits_sum","Orders_Sum","WordsOfStem_Visits"
"201","6","dog carrier(201)"
"201","0","guinea pig(201)"
"201","19","iam cat(201)"
"200","16","antler dog chew(200)"
"200","16","purina one(200)"
"195","18","kong dog toy(195)"
"194","18","mat(194)"
"193","16","train lead(193)"
"190","4","fluval edg(190)"
"190","6","rosewood cat collar(190)"
"189","3","pump(189)"
"189","1","snake(189)"
"186","36","go cat(186)"
"186","57","gravi bone(186)"
"186","10","hamster food(186)"
"185","8","budgi(185)"
"184","14","butcher dog food(184)"
"183","47","wainright(183)"
"182","20","train pad(182)"
"181","7","calm(181)"
"180","0","hill urinari health(180)"
"179","13","har dog(179)"
"179","8","poop scoop(179)"
"178","31","bone(178)"
"178","6","dog shoe(178)"
"178","21","ear drop(178)"
"178","6","heat bed(178)"
"178","2","heater(178)"
"178","16","kong dog(178)"
"178","17","thunder shirt(178)"
"178","12","worm tablet(178)"
"177","37","applaw dog(177)"
"177","39","dog chew(177)"
"176","36","cat milk(176)"
"176","32","fat ball(176)"
"176","7","pet rebellion mat(176)"
"176","0","weight control dog(176)"
"175","17","flea comb(175)"
"175","18","gelert(175)"
"175","8","ruffwear(175)"
"174","6","bird cage(174)"
"174","14","cone(174)"
"174","43","royal canin sensit(174)"
"174","33","royal canin(174)"
"172","14","cat collar(172)"
"170","26","bone(170)"
"170","9","nail clipper(170)"
"170","23","peanut(170)"
"170","12","pet remedi(170)"
"168","5","frontlin flea(168)"
"167","6","dog jumper(167)"
"167","21","simpl solut(167)"
"165","16","beta puppi(165)"
"165","19","iam wet(165)"
"164","14","dog ramp(164)"
"163","18","clump cat litter(163)"
"163","69","hill prescript diet(163)"
"163","4","rotastak(163)"
"162","8","car(162)"
"162","8","dog brush(162)"
"162","28","puppi treat(162)"
"162","1","tank(162)"
"161","33","butcher(161)"
"161","9","pro plan dog(161)"
"161","20","worm(161)"
"160","6","bowl(160)"
"160","6","cat scratch post(160)"
"160","4","fluval filter(160)"
"160","27","forthglad(160)"
"159","9","cat har(159)"
"159","13","dog blanket(159)"
"159","23","gourmet(159)"
"158","14","ear cleaner dog(158)"
"158","12","shampoo(158)"
"158","8","water fountain(158)"
"156","6","cat tunnel(156)"
"156","6","clicker(156)"
"156","3","dog gate(156)"
"155","21","hilif(155)"
"154","17","gourmet cat food(154)"
